bottle,consumedOn,verdictThen,verdictNow,windowThen,windowNow
brooks-pinot-noir-2014-g,2019-12-18,IN_WINDOW,IN_WINDOW,2019-2028 personal 2019-12-04,2019-2028 personal 2019-12-04
brooks-pinot-noir-2014-h,2020-12-05,IN_WINDOW,IN_WINDOW,2019-2028 personal 2019-12-04,2019-2028 personal 2019-12-04
brooks-pinot-noir-2014-i,2020-07-14,IN_WINDOW,IN_WINDOW,2019-2028 personal 2019-12-04,2019-2028 personal 2019-12-04
brooks-pinot-noir-2014-j,2020-08-16,IN_WINDOW,IN_WINDOW,2019-2028 personal 2019-12-04,2019-2028 personal 2019-12-04
brooks-pinot-noir-2014-k,2020-12-13,IN_WINDOW,IN_WINDOW,2019-2028 personal 2019-12-04,2019-2028 personal 2019-12-04
brooks-pinot-noir-2014-l,2019-12-03,IN_WINDOW,IN_WINDOW,2019-2029 producer 2016-03-12,2019-2028 personal 2019-12-04
brooks-pinot-noir-2015-a,2018-07-19,EARLY,EARLY,2020-2030 producer 2017-03-12,2020-2029 personal 2025-03-18
brooks-pinot-noir-2015-b,2020-11-16,IN_WINDOW,IN_WINDOW,2020-2030 producer 2017-03-12,2020-2029 personal 2025-03-18
brooks-pinot-noir-2015-c,2026-03-11,IN_WINDOW,IN_WINDOW,2020-2029 personal 2025-03-18,2020-2029 personal 2025-03-18
brooks-pinot-noir-2015-d,2021-12-04,IN_WINDOW,IN_WINDOW,2020-2030 producer 2017-03-12,2020-2029 personal 2025-03-18
brooks-pinot-noir-2015-e,2025-03-17,IN_WINDOW,IN_WINDOW,2020-2030 producer 2017-03-12,2020-2029 personal 2025-03-18
brooks-pinot-noir-2015-f,2025-09-27,IN_WINDOW,IN_WINDOW,2020-2029 personal 2025-03-18,2020-2029 personal 2025-03-18
brooks-pinot-noir-2015-g,2020-03-17,IN_WINDOW,IN_WINDOW,2020-2030 producer 2017-03-12,2020-2029 personal 2025-03-18
brooks-pinot-noir-2015-i,2025-11-25,IN_WINDOW,IN_WINDOW,2020-2029 personal 2025-03-18,2020-2029 personal 2025-03-18
brooks-pinot-noir-2015-j,2020-12-21,IN_WINDOW,IN_WINDOW,2020-2030 producer 2017-03-12,2020-2029 personal 2025-03-18
brooks-pinot-noir-2016-a,2022-12-15,IN_WINDOW,IN_WINDOW,2021-2031 producer 2018-09-12,2021-2031 producer 2018-09-12
brooks-pinot-noir-2016-b,2021-02-08,IN_WINDOW,IN_WINDOW,2021-2031 producer 2018-09-12,2021-2031 producer 2018-09-12
brooks-pinot-noir-2016-c,2021-07-28,IN_WINDOW,IN_WINDOW,2021-2031 producer 2018-09-12,2021-2031 producer 2018-09-12
brooks-pinot-noir-2016-e,2021-05-08,IN_WINDOW,IN_WINDOW,2021-2031 producer 2018-09-12,2021-2031 producer 2018-09-12
brooks-pinot-noir-2016-f,2021-08-27,IN_WINDOW,IN_WINDOW,2021-2031 producer 2018-09-12,2021-2031 producer 2018-09-12
brooks-pinot-noir-2016-g,2021-12-26,IN_WINDOW,IN_WINDOW,2021-2031 producer 2018-09-12,2021-2031 producer 2018-09-12
brooks-pinot-noir-2016-h,2021-08-27,IN_WINDOW,IN_WINDOW,2021-2031 producer 2018-09-12,2021-2031 producer 2018-09-12
brooks-pinot-noir-2016-i,2018-10-23,EARLY,EARLY,2021-2031 producer 2018-09-12,2021-2031 producer 2018-09-12
brooks-pinot-noir-2016-j,2019-05-14,EARLY,EARLY,2021-2031 producer 2018-09-12,2021-2031 producer 2018-09-12
brooks-pinot-noir-2016-k,2024-12-14,IN_WINDOW,IN_WINDOW,2021-2031 producer 2018-09-12,2021-2031 producer 2018-09-12
brooks-pinot-noir-2016-l,2026-09-17,IN_WINDOW,IN_WINDOW,2021-2031 producer 2018-09-12,2021-2031 producer 2018-09-12
brooks-pinot-noir-2017-a,2022-12-16,IN_WINDOW,IN_WINDOW,2022-2032 producer 2019-07-12,2022-2032 producer 2019-07-12
brooks-pinot-noir-2017-d,2022-11-14,IN_WINDOW,IN_WINDOW,2022-2032 producer 2019-07-12,2022-2032 producer 2019-07-12
brooks-pinot-noir-2017-e,2019-10-23,EARLY,EARLY,2022-2032 producer 2019-07-12,2022-2032 producer 2019-07-12
brooks-pinot-noir-2017-f,2022-12-04,IN_WINDOW,IN_WINDOW,2022-2032 producer 2019-07-12,2022-2032 producer 2019-07-12
brooks-pinot-noir-2017-h,2022-11-19,IN_WINDOW,IN_WINDOW,2022-2032 producer 2019-07-12,2022-2032 producer 2019-07-12
brooks-pinot-noir-2017-i,2025-11-18,IN_WINDOW,IN_WINDOW,2022-2032 producer 2019-07-12,2022-2032 producer 2019-07-12
brooks-pinot-noir-2017-k,2022-06-11,IN_WINDOW,IN_WINDOW,2022-2032 producer 2019-07-12,2022-2032 producer 2019-07-12
brooks-pinot-noir-2018-b,2023-12-27,IN_WINDOW,IN_WINDOW,2023-2032 personal 2023-09-24,2023-2032 personal 2023-09-24
brooks-pinot-noir-2018-d,2026-07-22,IN_WINDOW,IN_WINDOW,2023-2032 personal 2023-09-24,2023-2032 personal 2023-09-24
brooks-pinot-noir-2018-e,2025-07-01,IN_WINDOW,IN_WINDOW,2023-2032 personal 2023-09-24,2023-2032 personal 2023-09-24
brooks-pinot-noir-2018-g,2024-11-20,IN_WINDOW,IN_WINDOW,2023-2032 personal 2023-09-24,2023-2032 personal 2023-09-24
brooks-pinot-noir-2018-h,2025-12-08,IN_WINDOW,IN_WINDOW,2023-2032 personal 2023-09-24,2023-2032 personal 2023-09-24
brooks-pinot-noir-2018-i,2024-04-06,IN_WINDOW,IN_WINDOW,2023-2032 personal 2023-09-24,2023-2032 personal 2023-09-24
brooks-pinot-noir-2018-j,2025-04-18,IN_WINDOW,IN_WINDOW,2023-2032 personal 2023-09-24,2023-2032 personal 2023-09-24
brooks-pinot-noir-2018-l,2023-09-23,IN_WINDOW,IN_WINDOW,2023-2033 producer 2020-06-12,2023-2032 personal 2023-09-24
brooks-pinot-noir-2019-a,2024-12-01,IN_WINDOW,IN_WINDOW,2024-2034 producer 2021-06-12,2024-2032 personal 2025-11-19
brooks-pinot-noir-2019-c,2024-10-06,IN_WINDOW,IN_WINDOW,2024-2034 producer 2021-06-12,2024-2032 personal 2025-11-19
brooks-pinot-noir-2019-d,2024-12-01,IN_WINDOW,IN_WINDOW,2024-2034 producer 2021-06-12,2024-2032 personal 2025-11-19
brooks-pinot-noir-2019-e,2024-10-02,IN_WINDOW,IN_WINDOW,2024-2034 producer 2021-06-12,2024-2032 personal 2025-11-19
brooks-pinot-noir-2019-f,2024-03-23,IN_WINDOW,IN_WINDOW,2024-2034 producer 2021-06-12,2024-2032 personal 2025-11-19
brooks-pinot-noir-2019-g,2024-11-21,IN_WINDOW,IN_WINDOW,2024-2034 producer 2021-06-12,2024-2032 personal 2025-11-19
brooks-pinot-noir-2019-i,2025-11-18,IN_WINDOW,IN_WINDOW,2024-2034 producer 2021-06-12,2024-2032 personal 2025-11-19
brooks-pinot-noir-2019-j,2024-12-03,IN_WINDOW,IN_WINDOW,2024-2034 producer 2021-06-12,2024-2032 personal 2025-11-19
brooks-pinot-noir-2019-m,2025-05-19,IN_WINDOW,IN_WINDOW,2024-2034 producer 2021-06-12,2024-2032 personal 2025-11-19
brooks-pinot-noir-2019-n,2024-08-25,IN_WINDOW,IN_WINDOW,2024-2034 producer 2021-06-12,2024-2032 personal 2025-11-19
brooks-pinot-noir-2019-q,2024-09-27,IN_WINDOW,IN_WINDOW,2024-2034 producer 2021-06-12,2024-2032 personal 2025-11-19
brooks-pinot-noir-2019-s,2025-01-18,IN_WINDOW,IN_WINDOW,2024-2034 producer 2021-06-12,2024-2032 personal 2025-11-19
brooks-pinot-noir-2019-u,2024-06-18,IN_WINDOW,IN_WINDOW,2024-2034 producer 2021-06-12,2024-2032 personal 2025-11-19
brooks-pinot-noir-2019-v,2024-08-07,IN_WINDOW,IN_WINDOW,2024-2034 producer 2021-06-12,2024-2032 personal 2025-11-19
brooks-pinot-noir-2019-x,2024-07-15,IN_WINDOW,IN_WINDOW,2024-2034 producer 2021-06-12,2024-2032 personal 2025-11-19
brooks-riesling-2013-a,2019-11-25,IN_WINDOW,IN_WINDOW,2018-2026 personal 2018-07-03,2018-2023 personal 2023-11-07
brooks-riesling-2013-b,2021-09-09,IN_WINDOW,IN_WINDOW,2018-2026 personal 2018-07-03,2018-2023 personal 2023-11-07
brooks-riesling-2013-c,2023-11-06,IN_WINDOW,IN_WINDOW,2018-2026 personal 2018-07-03,2018-2023 personal 2023-11-07
brooks-riesling-2013-d,2020-08-10,IN_WINDOW,IN_WINDOW,2018-2026 personal 2018-07-03,2018-2023 personal 2023-11-07
brooks-riesling-2013-e,2018-07-02,IN_WINDOW,IN_WINDOW,2018-2028 producer 2014-03-12,2018-2023 personal 2023-11-07
brooks-riesling-2013-f,2019-02-05,IN_WINDOW,IN_WINDOW,2018-2026 personal 2018-07-03,2018-2023 personal 2023-11-07
brooks-riesling-2013-g,2016-04-07,EARLY,EARLY,2018-2028 producer 2014-03-12,2018-2023 personal 2023-11-07
brooks-riesling-2013-h,2021-11-18,IN_WINDOW,IN_WINDOW,2018-2026 personal 2018-07-03,2018-2023 personal 2023-11-07
brooks-riesling-2013-i,2019-03-01,IN_WINDOW,IN_WINDOW,2018-2026 personal 2018-07-03,2018-2023 personal 2023-11-07
brooks-riesling-2013-j,2018-11-17,IN_WINDOW,IN_WINDOW,2018-2026 personal 2018-07-03,2018-2023 personal 2023-11-07
brooks-riesling-2013-k,2021-07-10,IN_WINDOW,IN_WINDOW,2018-2026 personal 2018-07-03,2018-2023 personal 2023-11-07
brooks-riesling-2013-l,2018-11-22,IN_WINDOW,IN_WINDOW,2018-2026 personal 2018-07-03,2018-2023 personal 2023-11-07
brooks-riesling-2014-b,2021-11-17,IN_WINDOW,IN_WINDOW,2019-2026 personal 2020-09-12,2019-2026 personal 2020-09-12
brooks-riesling-2014-c,2025-11-22,IN_WINDOW,IN_WINDOW,2019-2026 personal 2020-09-12,2019-2026 personal 2020-09-12
brooks-riesling-2014-e,2020-11-12,IN_WINDOW,IN_WINDOW,2019-2026 personal 2020-09-12,2019-2026 personal 2020-09-12
brooks-riesling-2014-f,2023-11-10,IN_WINDOW,IN_WINDOW,2019-2026 personal 2020-09-12,2019-2026 personal 2020-09-12
brooks-riesling-2014-g,2020-09-11,IN_WINDOW,IN_WINDOW,2019-2029 producer 2015-03-12,2019-2026 personal 2020-09-12
brooks-riesling-2014-h,2022-06-22,IN_WINDOW,IN_WINDOW,2019-2026 personal 2020-09-12,2019-2026 personal 2020-09-12
brooks-riesling-2014-i,2025-04-06,IN_WINDOW,IN_WINDOW,2019-2026 personal 2020-09-12,2019-2026 personal 2020-09-12
brooks-riesling-2014-j,2022-03-20,IN_WINDOW,IN_WINDOW,2019-2026 personal 2020-09-12,2019-2026 personal 2020-09-12
brooks-riesling-2014-k,2020-12-12,IN_WINDOW,IN_WINDOW,2019-2026 personal 2020-09-12,2019-2026 personal 2020-09-12
brooks-riesling-2015-a,2024-12-06,IN_WINDOW,IN_WINDOW,2020-2030 producer 2016-06-12,2020-2030 producer 2016-06-12
brooks-riesling-2015-b,2017-08-05,EARLY,EARLY,2020-2030 producer 2016-06-12,2020-2030 producer 2016-06-12
brooks-riesling-2015-c,2021-06-04,IN_WINDOW,IN_WINDOW,2020-2030 producer 2016-06-12,2020-2030 producer 2016-06-12
brooks-riesling-2015-d,2022-08-03,IN_WINDOW,IN_WINDOW,2020-2030 producer 2016-06-12,2020-2030 producer 2016-06-12
brooks-riesling-2015-e,2020-07-02,IN_WINDOW,IN_WINDOW,2020-2030 producer 2016-06-12,2020-2030 producer 2016-06-12
brooks-riesling-2015-f,2025-05-19,IN_WINDOW,IN_WINDOW,2020-2030 producer 2016-06-12,2020-2030 producer 2016-06-12
brooks-riesling-2015-g,2024-06-12,IN_WINDOW,IN_WINDOW,2020-2030 producer 2016-06-12,2020-2030 producer 2016-06-12
brooks-riesling-2015-j,2021-10-15,IN_WINDOW,IN_WINDOW,2020-2030 producer 2016-06-12,2020-2030 producer 2016-06-12
brooks-riesling-2015-k,2020-11-18,IN_WINDOW,IN_WINDOW,2020-2030 producer 2016-06-12,2020-2030 producer 2016-06-12
brooks-riesling-2015-l,2020-10-26,IN_WINDOW,IN_WINDOW,2020-2030 producer 2016-06-12,2020-2030 producer 2016-06-12
brooks-riesling-2016-a,2021-11-05,IN_WINDOW,IN_WINDOW,2021-2031 producer 2017-07-12,2021-2031 producer 2017-07-12
brooks-riesling-2016-b,2024-12-23,IN_WINDOW,IN_WINDOW,2021-2031 producer 2017-07-12,2021-2031 producer 2017-07-12
brooks-riesling-2016-c,2022-10-04,IN_WINDOW,IN_WINDOW,2021-2031 producer 2017-07-12,2021-2031 producer 2017-07-12
brooks-riesling-2016-d,2022-07-07,IN_WINDOW,IN_WINDOW,2021-2031 producer 2017-07-12,2021-2031 producer 2017-07-12
brooks-riesling-2016-e,2018-08-04,EARLY,EARLY,2021-2031 producer 2017-07-12,2021-2031 producer 2017-07-12
brooks-riesling-2016-f,2025-02-28,IN_WINDOW,IN_WINDOW,2021-2031 producer 2017-07-12,2021-2031 producer 2017-07-12
brooks-riesling-2016-g,2022-08-08,IN_WINDOW,IN_WINDOW,2021-2031 producer 2017-07-12,2021-2031 producer 2017-07-12
brooks-riesling-2016-h,2024-05-11,IN_WINDOW,IN_WINDOW,2021-2031 producer 2017-07-12,2021-2031 producer 2017-07-12
brooks-riesling-2016-i,2021-05-23,IN_WINDOW,IN_WINDOW,2021-2031 producer 2017-07-12,2021-2031 producer 2017-07-12
brooks-riesling-2016-k,2022-12-16,IN_WINDOW,IN_WINDOW,2021-2031 producer 2017-07-12,2021-2031 producer 2017-07-12
brooks-riesling-2016-l,2025-12-07,IN_WINDOW,IN_WINDOW,2021-2031 producer 2017-07-12,2021-2031 producer 2017-07-12
brooks-riesling-2017-a,2025-07-13,IN_WINDOW,IN_WINDOW,2022-2032 producer 2018-07-12,2022-2030 personal 2026-07-06
brooks-riesling-2017-b,2023-06-03,IN_WINDOW,IN_WINDOW,2022-2032 producer 2018-07-12,2022-2030 personal 2026-07-06
brooks-riesling-2017-c,2026-08-17,IN_WINDOW,IN_WINDOW,2022-2030 personal 2026-07-06,2022-2030 personal 2026-07-06
brooks-riesling-2017-d,2022-11-18,IN_WINDOW,IN_WINDOW,2022-2032 producer 2018-07-12,2022-2030 personal 2026-07-06
brooks-riesling-2017-e,2023-12-13,IN_WINDOW,IN_WINDOW,2022-2032 producer 2018-07-12,2022-2030 personal 2026-07-06
brooks-riesling-2017-f,2022-01-16,IN_WINDOW,IN_WINDOW,2022-2032 producer 2018-07-12,2022-2030 personal 2026-07-06
brooks-riesling-2017-g,2025-01-02,IN_WINDOW,IN_WINDOW,2022-2032 producer 2018-07-12,2022-2030 personal 2026-07-06
brooks-riesling-2017-h,2026-07-05,IN_WINDOW,IN_WINDOW,2022-2032 producer 2018-07-12,2022-2030 personal 2026-07-06
brooks-riesling-2017-i,2019-07-25,EARLY,EARLY,2022-2032 producer 2018-07-12,2022-2030 personal 2026-07-06
brooks-riesling-2017-j,2024-09-01,IN_WINDOW,IN_WINDOW,2022-2032 producer 2018-07-12,2022-2030 personal 2026-07-06
brooks-riesling-2017-k,2022-05-23,IN_WINDOW,IN_WINDOW,2022-2032 producer 2018-07-12,2022-2030 personal 2026-07-06
brooks-riesling-2017-l,2024-08-19,IN_WINDOW,IN_WINDOW,2022-2032 producer 2018-07-12,2022-2030 personal 2026-07-06
brooks-riesling-2018-a,2026-09-10,IN_WINDOW,IN_WINDOW,2023-2035 personal 2022-12-21,2023-2035 personal 2022-12-21
brooks-riesling-2018-b,2024-08-16,IN_WINDOW,IN_WINDOW,2023-2035 personal 2022-12-21,2023-2035 personal 2022-12-21
brooks-riesling-2018-c,2025-03-05,IN_WINDOW,IN_WINDOW,2023-2035 personal 2022-12-21,2023-2035 personal 2022-12-21
brooks-riesling-2018-d,2025-05-02,IN_WINDOW,IN_WINDOW,2023-2035 personal 2022-12-21,2023-2035 personal 2022-12-21
brooks-riesling-2018-g,2023-09-13,IN_WINDOW,IN_WINDOW,2023-2035 personal 2022-12-21,2023-2035 personal 2022-12-21
brooks-riesling-2018-h,2020-03-28,EARLY,EARLY,2023-2033 producer 2019-04-12,2023-2035 personal 2022-12-21
brooks-riesling-2018-i,2024-12-05,IN_WINDOW,IN_WINDOW,2023-2035 personal 2022-12-21,2023-2035 personal 2022-12-21
brooks-riesling-2018-j,2024-10-22,IN_WINDOW,IN_WINDOW,2023-2035 personal 2022-12-21,2023-2035 personal 2022-12-21
brooks-riesling-2018-k,2022-12-20,EARLY,EARLY,2023-2033 producer 2019-04-12,2023-2035 personal 2022-12-21
brooks-riesling-2018-l,2024-06-05,IN_WINDOW,IN_WINDOW,2023-2035 personal 2022-12-21,2023-2035 personal 2022-12-21
brooks-riesling-2019-b,2020-07-25,UNKNOWN,EARLY,,2024-2032 personal 2025-12-06
brooks-riesling-2019-c,2025-06-20,IN_WINDOW,IN_WINDOW,2024-2034 producer 2020-08-12,2024-2032 personal 2025-12-06
brooks-riesling-2019-d,2025-07-03,IN_WINDOW,IN_WINDOW,2024-2034 producer 2020-08-12,2024-2032 personal 2025-12-06
brooks-riesling-2019-e,2024-11-27,IN_WINDOW,IN_WINDOW,2024-2034 producer 2020-08-12,2024-2032 personal 2025-12-06
brooks-riesling-2019-f,2024-03-25,IN_WINDOW,IN_WINDOW,2024-2034 producer 2020-08-12,2024-2032 personal 2025-12-06
brooks-riesling-2019-h,2025-09-08,IN_WINDOW,IN_WINDOW,2024-2034 producer 2020-08-12,2024-2032 personal 2025-12-06
brooks-riesling-2019-i,2024-12-14,IN_WINDOW,IN_WINDOW,2024-2034 producer 2020-08-12,2024-2032 personal 2025-12-06
brooks-riesling-2019-j,2025-12-05,IN_WINDOW,IN_WINDOW,2024-2034 producer 2020-08-12,2024-2032 personal 2025-12-06
brooks-riesling-2019-k,2026-09-05,IN_WINDOW,IN_WINDOW,2024-2032 personal 2025-12-06,2024-2032 personal 2025-12-06
brooks-riesling-2019-l,2024-11-21,IN_WINDOW,IN_WINDOW,2024-2034 producer 2020-08-12,2024-2032 personal 2025-12-06
brooks-riesling-2020-c,2026-08-13,IN_WINDOW,IN_WINDOW,2025-2036 personal 2026-01-02,2025-2036 personal 2026-01-02
brooks-riesling-2020-d,2026-09-13,IN_WINDOW,IN_WINDOW,2025-2036 personal 2026-01-02,2025-2036 personal 2026-01-02
brooks-riesling-2020-g,2026-07-09,IN_WINDOW,IN_WINDOW,2025-2036 personal 2026-01-02,2025-2036 personal 2026-01-02
brooks-riesling-2020-h,2026-01-01,IN_WINDOW,IN_WINDOW,2025-2035 producer 2021-07-12,2025-2036 personal 2026-01-02
brooks-riesling-2020-j,2026-07-14,IN_WINDOW,IN_WINDOW,2025-2036 personal 2026-01-02,2025-2036 personal 2026-01-02
brooks-riesling-2020-l,2025-07-07,IN_WINDOW,IN_WINDOW,2025-2035 producer 2021-07-12,2025-2036 personal 2026-01-02
brooks-riesling-2021-b,2026-08-24,IN_WINDOW,IN_WINDOW,2026-2038 personal 2022-07-20,2026-2038 personal 2022-07-20
brooks-riesling-2021-c,2026-08-15,IN_WINDOW,IN_WINDOW,2026-2038 personal 2022-07-20,2026-2038 personal 2022-07-20
brooks-riesling-2021-e,2022-07-19,UNKNOWN,EARLY,,2026-2038 personal 2022-07-20
brooks-riesling-2021-g,2026-07-18,IN_WINDOW,IN_WINDOW,2026-2038 personal 2022-07-20,2026-2038 personal 2022-07-20
brooks-riesling-2021-h,2026-07-13,IN_WINDOW,IN_WINDOW,2026-2038 personal 2022-07-20,2026-2038 personal 2022-07-20
brooks-riesling-2021-l,2026-01-19,IN_WINDOW,IN_WINDOW,2026-2038 personal 2022-07-20,2026-2038 personal 2022-07-20
california-assorted-cabernet-sauvignon-2012-a,2017-03-16,UNKNOWN,IN_WINDOW,,2016-2025 personal 2017-03-17
california-assorted-cabernet-sauvignon-2012-b,2016-05-15,UNKNOWN,IN_WINDOW,,2016-2025 personal 2017-03-17
california-assorted-cabernet-sauvignon-2014-a,2019-11-11,UNKNOWN,UNKNOWN,,
california-assorted-cabernet-sauvignon-2014-b,2019-11-15,UNKNOWN,UNKNOWN,,
california-assorted-cabernet-sauvignon-2016-a,2020-09-13,UNKNOWN,IN_WINDOW,,2019-2029 personal 2020-09-14
california-assorted-cabernet-sauvignon-2016-b,2021-06-13,IN_WINDOW,IN_WINDOW,2019-2029 personal 2020-09-14,2019-2029 personal 2020-09-14
california-assorted-cabernet-sauvignon-2016-c,2020-12-27,IN_WINDOW,IN_WINDOW,2019-2029 personal 2020-09-14,2019-2029 personal 2020-09-14
california-assorted-cabernet-sauvignon-2016-d,2022-07-02,IN_WINDOW,IN_WINDOW,2019-2029 personal 2020-09-14,2019-2029 personal 2020-09-14
california-assorted-cabernet-sauvignon-2018-a,2024-07-22,UNKNOWN,UNKNOWN,,
california-assorted-cabernet-sauvignon-2020-a,2025-06-01,UNKNOWN,IN_WINDOW,,2023-2029 personal 2025-06-02
california-assorted-cabernet-sauvignon-2020-b,2025-11-04,IN_WINDOW,IN_WINDOW,2023-2029 personal 2025-06-02,2023-2029 personal 2025-06-02
chateau-mouton-rothschild-grand-vin-1993-a,1996-11-09,EARLY,EARLY,1999-2015 critic 1996-06-03,1998-2012 personal 1999-03-21
chateau-mouton-rothschild-grand-vin-1993-b,1999-03-20,IN_WINDOW,IN_WINDOW,1998-2018 personal 1996-11-10,1998-2012 personal 1999-03-21
farm-on-golden-hill-chardonnay-2022-b,2025-04-15,IN_WINDOW,IN_WINDOW,2024-2032 producer 2024-05-12,2024-2031 personal 2025-12-14
farm-on-golden-hill-chardonnay-2022-d,2026-09-17,IN_WINDOW,IN_WINDOW,2024-2031 personal 2025-12-14,2024-2031 personal 2025-12-14
farm-on-golden-hill-chardonnay-2022-e,2026-08-12,IN_WINDOW,IN_WINDOW,2024-2031 personal 2025-12-14,2024-2031 personal 2025-12-14
farm-on-golden-hill-chardonnay-2022-f,2025-12-13,LATE,IN_WINDOW,2024-2024 personal 2025-09-14,2024-2031 personal 2025-12-14
farm-on-golden-hill-pinot-noir-2022-a,2024-12-11,IN_WINDOW,IN_WINDOW,2024-2027 producer 2024-05-12,2024-2024 personal 2025-05-05
farm-on-golden-hill-pinot-noir-2022-c,2024-08-12,IN_WINDOW,IN_WINDOW,2024-2027 producer 2024-05-12,2024-2024 personal 2025-05-05
farm-on-golden-hill-pinot-noir-2022-e,2026-06-02,LATE,LATE,2024-2024 personal 2025-05-05,2024-2024 personal 2025-05-05
farm-on-golden-hill-pinot-noir-2023-d,2026-07-10,LATE,LATE,2025-2025 personal 2025-06-22,2025-2025 personal 2025-06-22
farm-on-golden-hill-riesling-2024-d,2026-08-07,EARLY,EARLY,2029-2029 personal 2025-08-11,2029-2029 personal 2025-08-11
farm-on-golden-hill-rose-2023-a,2025-11-24,IN_WINDOW,IN_WINDOW,2024-2025 personal 2025-09-09,2024-2025 personal 2025-09-09
farm-on-golden-hill-rose-2024-b,2025-07-07,IN_WINDOW,IN_WINDOW,2025-2026 personal 2025-04-05,2025-2026 personal 2025-04-05
lodi-assorted-zinfandel-2014-a,2019-04-21,UNKNOWN,UNKNOWN,,
lodi-assorted-zinfandel-2015-a,2019-06-08,IN_WINDOW,IN_WINDOW,2017-2025 critic 2017-05-01,2017-2024 personal 2019-06-09
lodi-assorted-zinfandel-2016-a,2019-08-02,UNKNOWN,UNKNOWN,,
lodi-assorted-zinfandel-2017-a,2021-08-05,UNKNOWN,UNKNOWN,,
lodi-assorted-zinfandel-2017-b,2021-12-01,UNKNOWN,UNKNOWN,,
lodi-assorted-zinfandel-2018-a,2022-12-17,UNKNOWN,UNKNOWN,,
lodi-assorted-zinfandel-2018-b,2022-10-28,UNKNOWN,UNKNOWN,,
