date,type,wine,bottle,sourceType,sourceName,drinkFrom,drinkUntil,note
2015-06-16,acquire,brooks-pinot-noir-2013,brooks-pinot-noir-2013-d,,winery club,,,
2015-06-16,acquire,brooks-pinot-noir-2013,brooks-pinot-noir-2013-e,,winery club,,,
2015-06-16,acquire,brooks-pinot-noir-2013,brooks-pinot-noir-2013-f,,winery club,,,
2015-06-16,acquire,brooks-riesling-2014,brooks-riesling-2014-d,,winery club,,,
2015-06-16,acquire,brooks-riesling-2014,brooks-riesling-2014-e,,winery club,,,
2015-06-16,acquire,brooks-riesling-2014,brooks-riesling-2014-f,,winery club,,,
2015-09-10,acquire,brooks-pinot-noir-2013,brooks-pinot-noir-2013-g,,winery club,,,
2015-09-10,acquire,brooks-pinot-noir-2013,brooks-pinot-noir-2013-h,,winery club,,,
2015-09-10,acquire,brooks-pinot-noir-2013,brooks-pinot-noir-2013-i,,winery club,,,
2015-09-10,acquire,brooks-riesling-2014,brooks-riesling-2014-g,,winery club,,,
2015-09-10,acquire,brooks-riesling-2014,brooks-riesling-2014-h,,winery club,,,
2015-09-10,acquire,brooks-riesling-2014,brooks-riesling-2014-i,,winery club,,,
2015-10-27,assess,brooks-riesling-2014,,critic,Cascadia Wine Review,2019,2031,Warm and generous.
2015-12-13,acquire,brooks-pinot-noir-2013,brooks-pinot-noir-2013-j,,winery club,,,
2015-12-13,acquire,brooks-pinot-noir-2013,brooks-pinot-noir-2013-k,,winery club,,,
2015-12-13,acquire,brooks-pinot-noir-2013,brooks-pinot-noir-2013-l,,winery club,,,
2015-12-13,acquire,brooks-riesling-2014,brooks-riesling-2014-j,,winery club,,,
2015-12-13,acquire,brooks-riesling-2014,brooks-riesling-2014-k,,winery club,,,
2015-12-13,acquire,brooks-riesling-2014,brooks-riesling-2014-l,,winery club,,,
2016-03-12,assess,brooks-pinot-noir-2014,,producer,Brooks,2019,2029,Release notes. Warm and generous.
2016-03-16,acquire,brooks-pinot-noir-2014,brooks-pinot-noir-2014-a,,winery club,,,
2016-03-16,acquire,brooks-pinot-noir-2014,brooks-pinot-noir-2014-b,,winery club,,,
2016-03-16,acquire,brooks-pinot-noir-2014,brooks-pinot-noir-2014-c,,winery club,,,
2016-03-16,acquire,brooks-riesling-2015,brooks-riesling-2015-a,,winery club,,,
2016-03-16,acquire,brooks-riesling-2015,brooks-riesling-2015-b,,winery club,,,
2016-03-16,acquire,brooks-riesling-2015,brooks-riesling-2015-c,,winery club,,,
2016-04-07,acquire,california-assorted-cabernet-sauvignon-2012,california-assorted-cabernet-sauvignon-2012-a,,gift,,,
2016-04-07,acquire,california-assorted-cabernet-sauvignon-2012,california-assorted-cabernet-sauvignon-2012-b,,grocery store,,,
2016-04-07,consume,brooks-riesling-2013,brooks-riesling-2013-g,,,,,
2016-05-15,consume,california-assorted-cabernet-sauvignon-2012,california-assorted-cabernet-sauvignon-2012-b,,,,,Grocery store cab doing grocery store cab things.
2016-06-10,acquire,brooks-pinot-noir-2014,brooks-pinot-noir-2014-d,,winery club,,,
2016-06-10,acquire,brooks-pinot-noir-2014,brooks-pinot-noir-2014-e,,winery club,,,
2016-06-10,acquire,brooks-pinot-noir-2014,brooks-pinot-noir-2014-f,,winery club,,,
2016-06-10,acquire,brooks-riesling-2015,brooks-riesling-2015-d,,winery club,,,
2016-06-10,acquire,brooks-riesling-2015,brooks-riesling-2015-e,,winery club,,,
2016-06-10,acquire,brooks-riesling-2015,brooks-riesling-2015-f,,winery club,,,
2016-06-12,assess,brooks-riesling-2015,,producer,Brooks,2020,2030,"Release notes. Hot and early, forward fruit."
2016-07-08,acquire,lodi-assorted-zinfandel-2015,lodi-assorted-zinfandel-2015-a,,grocery store,,,
2016-09-21,acquire,brooks-pinot-noir-2014,brooks-pinot-noir-2014-g,,winery club,,,
2016-09-21,acquire,brooks-pinot-noir-2014,brooks-pinot-noir-2014-h,,winery club,,,
2016-09-21,acquire,brooks-pinot-noir-2014,brooks-pinot-noir-2014-i,,winery club,,,
2016-09-21,acquire,brooks-riesling-2015,brooks-riesling-2015-g,,winery club,,,
2016-09-21,acquire,brooks-riesling-2015,brooks-riesling-2015-h,,winery club,,,
2016-09-21,acquire,brooks-riesling-2015,brooks-riesling-2015-i,,winery club,,,
2016-10-18,acquire,california-assorted-cabernet-sauvignon-2014,california-assorted-cabernet-sauvignon-2014-a,,gift,,,
2016-11-03,consume,brooks-pinot-noir-2013,brooks-pinot-noir-2013-d,,,,,Structured. Could have waited another two years.
2016-12-20,acquire,brooks-pinot-noir-2014,brooks-pinot-noir-2014-j,,winery club,,,
2016-12-20,acquire,brooks-pinot-noir-2014,brooks-pinot-noir-2014-k,,winery club,,,
2016-12-20,acquire,brooks-pinot-noir-2014,brooks-pinot-noir-2014-l,,winery club,,,
2016-12-20,acquire,brooks-riesling-2015,brooks-riesling-2015-j,,winery club,,,
2016-12-20,acquire,brooks-riesling-2015,brooks-riesling-2015-k,,winery club,,,
2016-12-20,acquire,brooks-riesling-2015,brooks-riesling-2015-l,,winery club,,,
2017-03-12,assess,brooks-pinot-noir-2015,,producer,Brooks,2020,2030,"Release notes. Hot and early, forward fruit."
2017-03-16,consume,california-assorted-cabernet-sauvignon-2012,california-assorted-cabernet-sauvignon-2012-a,,,,,
2017-03-17,assess,california-assorted-cabernet-sauvignon-2012,,personal,me,2016,2025,Reassessed after opening one.
2017-03-20,acquire,brooks-pinot-noir-2015,brooks-pinot-noir-2015-a,,winery club,,,
2017-03-20,acquire,brooks-pinot-noir-2015,brooks-pinot-noir-2015-b,,winery club,,,
2017-03-20,acquire,brooks-pinot-noir-2015,brooks-pinot-noir-2015-c,,winery club,,,
2017-03-20,acquire,brooks-riesling-2016,brooks-riesling-2016-a,,winery club,,,
2017-03-20,acquire,brooks-riesling-2016,brooks-riesling-2016-b,,winery club,,,
2017-03-20,acquire,brooks-riesling-2016,brooks-riesling-2016-c,,winery club,,,
2017-05-01,assess,lodi-assorted-zinfandel-2015,,critic,Pacific Vintage Quarterly,2017,2025,Drink early. Not a keeper.
2017-06-13,acquire,brooks-pinot-noir-2015,brooks-pinot-noir-2015-d,,winery club,,,
2017-06-13,acquire,brooks-pinot-noir-2015,brooks-pinot-noir-2015-e,,winery club,,,
2017-06-13,acquire,brooks-pinot-noir-2015,brooks-pinot-noir-2015-f,,winery club,,,
2017-06-13,acquire,brooks-riesling-2016,brooks-riesling-2016-d,,winery club,,,
2017-06-13,acquire,brooks-riesling-2016,brooks-riesling-2016-e,,winery club,,,
2017-06-13,acquire,brooks-riesling-2016,brooks-riesling-2016-f,,winery club,,,
2017-07-12,assess,brooks-riesling-2016,,producer,Brooks,2021,2031,Release notes. Warm and early.
2017-08-05,consume,brooks-riesling-2015,brooks-riesling-2015-b,,,,,Great acid. Held up better than expected.
2017-08-23,consume,brooks-pinot-noir-2012,brooks-pinot-noir-2012-b,,,,,Fruit starting to dry out at the edges.
2017-09-14,acquire,brooks-pinot-noir-2015,brooks-pinot-noir-2015-g,,winery club,,,
2017-09-14,acquire,brooks-pinot-noir-2015,brooks-pinot-noir-2015-h,,winery club,,,
2017-09-14,acquire,brooks-pinot-noir-2015,brooks-pinot-noir-2015-i,,winery club,,,
2017-09-14,acquire,brooks-riesling-2016,brooks-riesling-2016-g,,winery club,,,
2017-09-14,acquire,brooks-riesling-2016,brooks-riesling-2016-h,,winery club,,,
2017-09-14,acquire,brooks-riesling-2016,brooks-riesling-2016-i,,winery club,,,
2017-11-24,acquire,lodi-assorted-zinfandel-2016,lodi-assorted-zinfandel-2016-a,,gift,,,
2017-12-07,consume,brooks-pinot-noir-2012,brooks-pinot-noir-2012-d,,,,,Structured. Could have waited another two years.
2017-12-12,acquire,brooks-pinot-noir-2015,brooks-pinot-noir-2015-j,,winery club,,,
2017-12-12,acquire,brooks-pinot-noir-2015,brooks-pinot-noir-2015-k,,winery club,,,
2017-12-12,acquire,brooks-pinot-noir-2015,brooks-pinot-noir-2015-l,,winery club,,,
2017-12-12,acquire,brooks-riesling-2016,brooks-riesling-2016-j,,winery club,,,
2017-12-12,acquire,brooks-riesling-2016,brooks-riesling-2016-k,,winery club,,,
2017-12-12,acquire,brooks-riesling-2016,brooks-riesling-2016-l,,winery club,,,
2017-12-14,consume,brooks-pinot-noir-2012,brooks-pinot-noir-2012-f,,,,,Structured. Could have waited another two years.
2017-12-18,consume,brooks-pinot-noir-2012,brooks-pinot-noir-2012-e,,,,,Silky. Drinking well right now.
2017-12-23,acquire,california-assorted-cabernet-sauvignon-2014,california-assorted-cabernet-sauvignon-2014-b,,gift,,,
2018-02-04,acquire,california-assorted-cabernet-sauvignon-2016,california-assorted-cabernet-sauvignon-2016-a,,gift,,,
2018-02-14,consume,brooks-pinot-noir-2014,brooks-pinot-noir-2014-b,,,,,Structured. Could have waited another two years.
2018-03-17,acquire,brooks-pinot-noir-2016,brooks-pinot-noir-2016-a,,winery club,,,
2018-03-17,acquire,brooks-pinot-noir-2016,brooks-pinot-noir-2016-b,,winery club,,,
2018-03-17,acquire,brooks-pinot-noir-2016,brooks-pinot-noir-2016-c,,winery club,,,
2018-03-17,acquire,brooks-riesling-2017,brooks-riesling-2017-a,,winery club,,,
2018-03-17,acquire,brooks-riesling-2017,brooks-riesling-2017-b,,winery club,,,
2018-03-17,acquire,brooks-riesling-2017,brooks-riesling-2017-c,,winery club,,,
2018-05-15,consume,brooks-pinot-noir-2012,brooks-pinot-noir-2012-c,,,,,Fruit starting to dry out at the edges.
2018-06-20,consume,brooks-pinot-noir-2013,brooks-pinot-noir-2013-h,,,,,
2018-06-21,acquire,brooks-pinot-noir-2016,brooks-pinot-noir-2016-d,,winery club,,,
2018-06-21,acquire,brooks-pinot-noir-2016,brooks-pinot-noir-2016-e,,winery club,,,
2018-06-21,acquire,brooks-pinot-noir-2016,brooks-pinot-noir-2016-f,,winery club,,,
2018-06-21,acquire,brooks-riesling-2017,brooks-riesling-2017-d,,winery club,,,
2018-06-21,acquire,brooks-riesling-2017,brooks-riesling-2017-e,,winery club,,,
2018-06-21,acquire,brooks-riesling-2017,brooks-riesling-2017-f,,winery club,,,
2018-07-02,consume,brooks-riesling-2013,brooks-riesling-2013-e,,,,,Great acid. Held up better than expected.
2018-07-03,assess,brooks-riesling-2013,,personal,me,2018,2026,Reassessed after opening.
2018-07-12,assess,brooks-riesling-2017,,producer,Brooks,2022,2032,"Release notes. Cooler and classic, elegant structure."
2018-07-18,acquire,lodi-assorted-zinfandel-2014,lodi-assorted-zinfandel-2014-a,,gift,,,
2018-07-19,consume,brooks-pinot-noir-2015,brooks-pinot-noir-2015-a,,,,,Fruit starting to dry out at the edges.
2018-08-04,consume,brooks-riesling-2016,brooks-riesling-2016-e,,,,,Still tastes young. Years left in this.
2018-09-12,assess,brooks-pinot-noir-2016,,producer,Brooks,2021,2031,Release notes. Warm and early.
2018-09-18,acquire,brooks-pinot-noir-2016,brooks-pinot-noir-2016-g,,winery club,,,
2018-09-18,acquire,brooks-pinot-noir-2016,brooks-pinot-noir-2016-h,,winery club,,,
2018-09-18,acquire,brooks-pinot-noir-2016,brooks-pinot-noir-2016-i,,winery club,,,
2018-09-18,acquire,brooks-riesling-2017,brooks-riesling-2017-g,,winery club,,,
2018-09-18,acquire,brooks-riesling-2017,brooks-riesling-2017-h,,winery club,,,
2018-09-18,acquire,brooks-riesling-2017,brooks-riesling-2017-i,,winery club,,,
2018-10-23,consume,brooks-pinot-noir-2016,brooks-pinot-noir-2016-i,,,,,Impatient. Worth it anyway.
2018-11-12,consume,brooks-pinot-noir-2013,brooks-pinot-noir-2013-j,,,,,Earthier than I remembered. Good with the mushroom pasta.
2018-11-13,assess,brooks-pinot-noir-2013,,personal,me,2018,2026,Reassessed after opening one.
2018-11-17,consume,brooks-riesling-2013,brooks-riesling-2013-j,,,,,Still tastes young. Years left in this.
2018-11-22,consume,brooks-riesling-2013,brooks-riesling-2013-l,,,,,Still tastes young. Years left in this.
2018-11-23,consume,brooks-pinot-noir-2012,brooks-pinot-noir-2012-g,,,,,"Red cherry, forest floor, fine tannin. Still tight."
2018-11-24,assess,brooks-pinot-noir-2012,,personal,me,2019,2031,Reassessed after opening one.
2018-12-10,acquire,brooks-pinot-noir-2016,brooks-pinot-noir-2016-j,,winery club,,,
2018-12-10,acquire,brooks-pinot-noir-2016,brooks-pinot-noir-2016-k,,winery club,,,
2018-12-10,acquire,brooks-pinot-noir-2016,brooks-pinot-noir-2016-l,,winery club,,,
2018-12-10,acquire,brooks-riesling-2017,brooks-riesling-2017-j,,winery club,,,
2018-12-10,acquire,brooks-riesling-2017,brooks-riesling-2017-k,,winery club,,,
2018-12-10,acquire,brooks-riesling-2017,brooks-riesling-2017-l,,winery club,,,
2018-12-25,assess,brooks-riesling-2017,,critic,Northwest Cellar Notes,2022,2032,"Cooler and classic, elegant structure."
2019-02-05,consume,brooks-riesling-2013,brooks-riesling-2013-f,,,,,
2019-02-11,assess,chateau-mouton-rothschild-grand-vin-1993,,critic,Cascadia Wine Review,1999,2022,Late look. Tertiary but sound from good provenance.
2019-03-01,consume,brooks-riesling-2013,brooks-riesling-2013-i,,,,,"Off-dry, lime and petrol. Excellent."
2019-03-03,acquire,lodi-assorted-zinfandel-2018,lodi-assorted-zinfandel-2018-a,,gift,,,
2019-03-21,acquire,brooks-pinot-noir-2017,brooks-pinot-noir-2017-a,,winery club,,,
2019-03-21,acquire,brooks-pinot-noir-2017,brooks-pinot-noir-2017-b,,winery club,,,
2019-03-21,acquire,brooks-pinot-noir-2017,brooks-pinot-noir-2017-c,,winery club,,,
2019-03-21,acquire,brooks-riesling-2018,brooks-riesling-2018-a,,winery club,,,
2019-03-21,acquire,brooks-riesling-2018,brooks-riesling-2018-b,,winery club,,,
2019-03-21,acquire,brooks-riesling-2018,brooks-riesling-2018-c,,winery club,,,
2019-03-26,acquire,california-assorted-cabernet-sauvignon-2016,california-assorted-cabernet-sauvignon-2016-b,,gift,,,
2019-04-12,assess,brooks-riesling-2018,,producer,Brooks,2023,2033,Release notes. Warm with real structure.
2019-04-21,consume,lodi-assorted-zinfandel-2014,lodi-assorted-zinfandel-2014-a,,,,,
2019-05-14,consume,brooks-pinot-noir-2016,brooks-pinot-noir-2016-j,,,,,Silky. Drinking well right now.
2019-06-08,consume,lodi-assorted-zinfandel-2015,lodi-assorted-zinfandel-2015-a,,,,,Brambly and warm. Good on a cold night.
2019-06-09,assess,lodi-assorted-zinfandel-2015,,personal,me,2017,2024,Reassessed after opening one.
2019-06-15,acquire,brooks-pinot-noir-2017,brooks-pinot-noir-2017-d,,winery club,,,
2019-06-15,acquire,brooks-pinot-noir-2017,brooks-pinot-noir-2017-e,,winery club,,,
2019-06-15,acquire,brooks-pinot-noir-2017,brooks-pinot-noir-2017-f,,winery club,,,
2019-06-15,acquire,brooks-riesling-2018,brooks-riesling-2018-d,,winery club,,,
2019-06-15,acquire,brooks-riesling-2018,brooks-riesling-2018-e,,winery club,,,
2019-06-15,acquire,brooks-riesling-2018,brooks-riesling-2018-f,,winery club,,,
2019-06-19,consume,brooks-pinot-noir-2014,brooks-pinot-noir-2014-a,,,,,Structured. Could have waited another two years.
2019-07-12,assess,brooks-pinot-noir-2017,,producer,Brooks,2022,2032,"Release notes. Cooler and classic, elegant structure."
2019-07-25,consume,brooks-riesling-2017,brooks-riesling-2017-i,,,,,Great acid. Held up better than expected.
2019-08-02,consume,lodi-assorted-zinfandel-2016,lodi-assorted-zinfandel-2016-a,,,,,
2019-08-19,assess,brooks-riesling-2016,,critic,Pacific Vintage Quarterly,2021,2032,Warm and early.
2019-09-14,acquire,brooks-pinot-noir-2017,brooks-pinot-noir-2017-g,,winery club,,,
2019-09-14,acquire,brooks-pinot-noir-2017,brooks-pinot-noir-2017-h,,winery club,,,
2019-09-14,acquire,brooks-pinot-noir-2017,brooks-pinot-noir-2017-i,,winery club,,,
2019-09-14,acquire,brooks-riesling-2018,brooks-riesling-2018-g,,winery club,,,
2019-09-14,acquire,brooks-riesling-2018,brooks-riesling-2018-h,,winery club,,,
2019-09-14,acquire,brooks-riesling-2018,brooks-riesling-2018-i,,winery club,,,
2019-10-08,consume,brooks-pinot-noir-2014,brooks-pinot-noir-2014-f,,,,,"Bright acid, light on its feet."
2019-10-23,consume,brooks-pinot-noir-2017,brooks-pinot-noir-2017-e,,,,,"Opened too young. Fruit is there, structure is not resolved."
2019-11-11,consume,california-assorted-cabernet-sauvignon-2014,california-assorted-cabernet-sauvignon-2014-a,,,,,Grocery store cab doing grocery store cab things.
2019-11-15,consume,california-assorted-cabernet-sauvignon-2014,california-assorted-cabernet-sauvignon-2014-b,,,,,Surprisingly good for what it cost.
2019-11-16,acquire,california-assorted-cabernet-sauvignon-2018,california-assorted-cabernet-sauvignon-2018-a,,gift,,,
2019-11-25,consume,brooks-riesling-2013,brooks-riesling-2013-a,,,,,
2019-12-03,consume,brooks-pinot-noir-2014,brooks-pinot-noir-2014-l,,,,,Fruit starting to dry out at the edges.
2019-12-04,assess,brooks-pinot-noir-2014,,personal,me,2019,2028,Reassessed after opening one.
2019-12-18,consume,brooks-pinot-noir-2014,brooks-pinot-noir-2014-g,,,,,"Bright acid, light on its feet."
2019-12-19,acquire,brooks-pinot-noir-2017,brooks-pinot-noir-2017-j,,winery club,,,
2019-12-19,acquire,brooks-pinot-noir-2017,brooks-pinot-noir-2017-k,,winery club,,,
2019-12-19,acquire,brooks-pinot-noir-2017,brooks-pinot-noir-2017-l,,winery club,,,
2019-12-19,acquire,brooks-riesling-2018,brooks-riesling-2018-j,,winery club,,,
2019-12-19,acquire,brooks-riesling-2018,brooks-riesling-2018-k,,winery club,,,
2019-12-19,acquire,brooks-riesling-2018,brooks-riesling-2018-l,,winery club,,,
2020-01-27,consume,brooks-pinot-noir-2014,brooks-pinot-noir-2014-e,,,,,"Bright acid, light on its feet."
2020-03-17,consume,brooks-pinot-noir-2015,brooks-pinot-noir-2015-g,,,,,Silky. Drinking well right now.
2020-03-18,acquire,brooks-pinot-noir-2018,brooks-pinot-noir-2018-a,,winery club,,,
2020-03-18,acquire,brooks-pinot-noir-2018,brooks-pinot-noir-2018-b,,winery club,,,
2020-03-18,acquire,brooks-pinot-noir-2018,brooks-pinot-noir-2018-c,,winery club,,,
2020-03-18,acquire,brooks-riesling-2019,brooks-riesling-2019-a,,winery club,,,
2020-03-18,acquire,brooks-riesling-2019,brooks-riesling-2019-b,,winery club,,,
2020-03-18,acquire,brooks-riesling-2019,brooks-riesling-2019-c,,winery club,,,
2020-03-18,acquire,california-assorted-cabernet-sauvignon-2019,california-assorted-cabernet-sauvignon-2019-a,,gift,,,
2020-03-28,consume,brooks-riesling-2018,brooks-riesling-2018-h,,,,,Honeyed now. Turning the corner but lovely.
2020-04-12,assess,vitis-ridge-rose-of-pinot-noir-2019,,producer,Vitis Ridge,2020,2021,"Release notes. Cool and wet, producer-dependent."
2020-05-03,consume,brooks-pinot-noir-2013,brooks-pinot-noir-2013-c,,,,,
2020-05-15,consume,brooks-pinot-noir-2012,brooks-pinot-noir-2012-l,,,,,Opened up after an hour. Cranberry and dried herb.
2020-06-12,assess,brooks-pinot-noir-2018,,producer,Brooks,2023,2033,Release notes. Warm with real structure.
2020-06-19,acquire,brooks-pinot-noir-2018,brooks-pinot-noir-2018-d,,winery club,,,
2020-06-19,acquire,brooks-pinot-noir-2018,brooks-pinot-noir-2018-e,,winery club,,,
2020-06-19,acquire,brooks-pinot-noir-2018,brooks-pinot-noir-2018-f,,winery club,,,
2020-06-19,acquire,brooks-riesling-2019,brooks-riesling-2019-d,,winery club,,,
2020-06-19,acquire,brooks-riesling-2019,brooks-riesling-2019-e,,winery club,,,
2020-06-19,acquire,brooks-riesling-2019,brooks-riesling-2019-f,,winery club,,,
2020-06-22,acquire,california-assorted-cabernet-sauvignon-2016,california-assorted-cabernet-sauvignon-2016-c,,gift,,,
2020-06-22,acquire,california-assorted-cabernet-sauvignon-2016,california-assorted-cabernet-sauvignon-2016-d,,grocery store,,,
2020-07-02,consume,brooks-riesling-2015,brooks-riesling-2015-e,,,,,
2020-07-14,consume,brooks-pinot-noir-2014,brooks-pinot-noir-2014-i,,,,,Earthier than I remembered. Good with the mushroom pasta.
2020-07-20,consume,brooks-pinot-noir-2014,brooks-pinot-noir-2014-d,,,,,"Red cherry, forest floor, fine tannin. Still tight."
2020-07-25,consume,brooks-riesling-2019,brooks-riesling-2019-b,,,,,Still tastes young. Years left in this.
2020-08-10,consume,brooks-riesling-2013,brooks-riesling-2013-d,,,,,Honeyed now. Turning the corner but lovely.
2020-08-12,assess,brooks-riesling-2019,,producer,Brooks,2024,2034,"Release notes. Cool and wet, producer-dependent."
2020-08-16,consume,brooks-pinot-noir-2014,brooks-pinot-noir-2014-j,,,,,Fruit starting to dry out at the edges.
2020-08-27,assess,brooks-riesling-2017,,critic,The Vintner's Ledger,2022,2036,Retrospective tasting. More life left than earlier notes suggested.
2020-09-11,consume,brooks-riesling-2014,brooks-riesling-2014-g,,,,,Great acid. Held up better than expected.
2020-09-12,assess,brooks-riesling-2014,,personal,me,2019,2026,Reassessed after opening one.
2020-09-13,consume,california-assorted-cabernet-sauvignon-2016,california-assorted-cabernet-sauvignon-2016-a,,,,,Grocery store cab doing grocery store cab things.
2020-09-14,assess,california-assorted-cabernet-sauvignon-2016,,personal,me,2019,2029,Reassessed after opening one.
2020-09-16,acquire,brooks-pinot-noir-2018,brooks-pinot-noir-2018-g,,winery club,,,
2020-09-16,acquire,brooks-pinot-noir-2018,brooks-pinot-noir-2018-h,,winery club,,,
2020-09-16,acquire,brooks-pinot-noir-2018,brooks-pinot-noir-2018-i,,winery club,,,
2020-09-16,acquire,brooks-riesling-2019,brooks-riesling-2019-g,,winery club,,,
2020-09-16,acquire,brooks-riesling-2019,brooks-riesling-2019-h,,winery club,,,
2020-09-16,acquire,brooks-riesling-2019,brooks-riesling-2019-i,,winery club,,,
2020-10-09,acquire,lodi-assorted-zinfandel-2017,lodi-assorted-zinfandel-2017-a,,grocery store,,,
2020-10-09,acquire,lodi-assorted-zinfandel-2017,lodi-assorted-zinfandel-2017-b,,grocery store,,,
2020-10-10,consume,brooks-pinot-noir-2013,brooks-pinot-noir-2013-a,,,,,"Red cherry, forest floor, fine tannin. Still tight."
2020-10-23,consume,brooks-pinot-noir-2013,brooks-pinot-noir-2013-k,,,,,"Red cherry, forest floor, fine tannin. Still tight."
2020-10-26,consume,brooks-riesling-2015,brooks-riesling-2015-l,,,,,
